fitur_kata,tf_0,tf_1,tf_2,tf_3,tf_4,tf_5,tf_6,tf_7,tf_8,tf_9,tf_10,tf_11,tf_12,tf_13,tf_14,tf_15,tf_16,tf_17,tf_18,tf_19,tf_20,tf_21,tf_22,tf_23,tf_24,tf_25,tf_26,tf_27,tf_28,tf_29,tf_30,tf_31,wtf_0,wtf_1,wtf_2,wtf_3,wtf_4,wtf_5,wtf_6,wtf_7,wtf_8,wtf_9,wtf_10,wtf_11,wtf_12,wtf_13,wtf_14,wtf_15,wtf_16,wtf_17,wtf_18,wtf_19,wtf_20,wtf_21,wtf_22,wtf_23,wtf_24,wtf_25,wtf_26,wtf_27,wtf_28,wtf_29,wtf_30,wtf_31,tfidf_0,tfidf_1,tfidf_2,tfidf_3,tfidf_4,tfidf_5,tfidf_6,tfidf_7,tfidf_8,tfidf_9,tfidf_10,tfidf_11,tfidf_12,tfidf_13,tfidf_14,tfidf_15,tfidf_16,tfidf_17,tfidf_18,tfidf_19,tfidf_20,tfidf_21,tfidf_22,tfidf_23,tfidf_24,tfidf_25,tfidf_26,tfidf_27,tfidf_28,tfidf_29,tfidf_30,tfidf_31
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1,12,0,5,1,1,1,1,1,2,0,1,5,5,3,4,1,2,2,1,0,3,1,1,0,0,0,0,0,0,0,0,1.0,2.079181246047625,0.0,1.6989700043360187,1.0,1.0,1.0,1.0,1.0,1.3010299956639813,0.0,1.0,1.6989700043360187,1.6989700043360187,1.4771212547196624,1.6020599913279625,1.0,1.3010299956639813,1.3010299956639813,1.0,0.0,1.4771212547196624,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2951501858266843,0.0,-0.24984657198469742,0.4854522473397139,-0.2748503200166648,0.0,-0.2648178230095365,-0.7108786176851729,-0.34790377183061166,0.0,-0.03462845662532038,-1.2441783771491413,-1.2474510639313818,-0.46299681885033417,-0.6575491603367986,-0.15228834438305652,-0.23621210974146298,-0.20091022107176384,0.08354605145007492,0.0,-0.41545613896601497,-0.048441803550404505,0.438898616350944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1,6,0,0,0,2,1,2,2,1,0,0,2,2,1,1,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1.0,1.7781512503836436,0.0,0.0,0.0,1.3010299956639813,1.0,1.3010299956639813,1.3010299956639813,1.0,0.0,0.0,1.3010299956639813,1.3010299956639813,1.0,1.0,0.0,1.0,0.0,1.0,1.3010299956639813,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9628515698205224,0.0,0.0,0.0,-0.3575885106595253,0.0,-0.3445359311218422,-0.9248744048845575,-0.26740641875290416,0.0,0.0,-0.9527616052645864,-0.9552677493749835,-0.3134453704264141,-0.41043978621034655,0.0,-0.18155777386278632,0.0,0.08354605145007492,-0.6064437391690592,-0.2812606870550129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1,4,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.6020599913279625,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.768469340415379,0.0,0.0,0.0,0.0,0.0,-0.2648178230095365,0.0,-0.26740641875290416,0.0,0.0,-0.7323133274712426,-0.7342396044354551,-0.3134453704264141,0.0,-0.15228834438305652,-0.18155777386278632,-0.15442397311464692,0.0,-0.46612587041819925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1,34,0,3,0,4,1,2,12,11,1,0,16,16,4,9,0,2,4,2,11,8,7,2,0,1,0,0,0,0,0,0,1.0,2.5314789170422554,0.0,1.4771212547196624,0.0,1.6020599913279625,1.0,1.3010299956639813,2.079181246047625,2.0413926851582254,1.0,0.0,2.204119982655925,2.204119982655925,1.6020599913279625,1.9542425094393248,0.0,1.3010299956639813,1.6020599913279625,1.3010299956639813,2.0413926851582254,1.9030899869919435,1.845098040014257,1.3010299956639813,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7944289695333184,0.0,-0.2172220115455623,0.0,-0.44032670130238577,0.0,-0.3445359311218422,-1.478045490107271,-0.5458815072065358,0.2076083105017461,0.0,-1.6141064386446178,-1.6183521841935686,-0.502158287427131,-0.8020988777774476,0.0,-0.23621210974146298,-0.24739646902888077,0.10869591895583372,-0.9515459422347228,-0.5352643972688695,-0.08937987678560702,0.5710202649279961,0.0,0.6925039620867871,0.0,0.0,0.0,0.0,0.0,0.0
,1,22,7,0,0,3,1,1,13,4,0,2,10,10,6,9,3,1,5,0,4,0,0,2,0,0,0,0,0,0,0,0,1.0,2.342422680822206,1.845098040014257,0.0,0.0,1.4771212547196624,1.0,1.0,2.113943352306837,1.6020599913279625,0.0,1.3010299956639813,2.0,2.0,1.7781512503836436,1.9542425094393248,1.4771212547196624,1.0,1.6989700043360187,0.0,1.6020599913279625,0.0,0.0,1.3010299956639813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5857350634503464,-0.2826780608660931,0.0,0.0,-0.40598724956311666,0.0,-0.2648178230095365,-1.5027571281526446,-0.42840112490831916,0.0,-0.04505266077309094,-1.4646266549424851,-1.4684792088709102,-0.5573532773506926,-0.8020988777774476,-0.2249483503342805,-0.18155777386278632,-0.2623616982721769,0.0,-0.7467616079199193,0.0,0.0,0.5710202649279961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1,6,1,1,0,1,1,2,1,1,0,0,2,2,1,1,0,1,0,1,3,1,0,0,0,2,0,0,0,0,0,0,1.0,1.7781512503836436,1.0,1.0,0.0,1.0,1.0,1.3010299956639813,1.0,1.0,0.0,0.0,1.3010299956639813,1.3010299956639813,1.0,1.0,0.0,1.0,0.0,1.0,1.4771212547196624,1.0,0.0,0.0,0.0,1.3010299956639813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9628515698205224,-0.15320490008428433,-0.1470576710283599,0.0,-0.2748503200166648,0.0,-0.3445359311218422,-0.7108786176851729,-0.26740641875290416,0.0,0.0,-0.9527616052645864,-0.9552677493749835,-0.3134453704264141,-0.41043978621034655,0.0,-0.18155777386278632,0.0,0.08354605145007492,-0.6885244305694252,-0.2812606870550129,0.0,0.0,0.0,0.9009684267910625,0.0,0.0,0.0,0.0,0.0,0.0
,1,2,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1.0,1.3010299956639813,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4361707244092172,0.0,0.0,0.0,0.0,0.0,0.0,-0.7108786176851729,0.0,0.0,0.0,0.0,0.0,-0.3134453704264141,-0.41043978621034655,0.0,0.0,-0.15442397311464692,0.0,0.0,-0.2812606870550129,-0.048441803550404505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1,4,2,0,0,1,1,0,3,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,1.6020599913279625,1.3010299956639813,0.0,0.0,1.0,1.0,0.0,1.4771212547196624,0.0,0.0,1.3010299956639813,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.768469340415379,-0.19932417049235712,0.0,0.0,-0.2748503200166648,0.0,0.0,-1.0500539157085018,0.0,0.0,-0.04505266077309094,-0.7323133274712426,-0.7342396044354551,-0.3134453704264141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.048441803550404505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1,10,2,1,1,0,1,2,1,1,3,3,4,4,4,1,2,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,1.3010299956639813,1.0,1.0,0.0,1.0,1.3010299956639813,1.0,1.0,1.4771212547196624,1.4771212547196624,1.6020599913279625,1.6020599913279625,1.6020599913279625,1.0,1.3010299956639813,1.3010299956639813,1.0,0.0,1.6020599913279625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.207744216806111,-0.19932417049235712,-0.1470576710283599,0.4854522473397139,0.0,0.0,-0.3445359311218422,-0.7108786176851729,-0.26740641875290416,0.30666264809856847,-0.05115042929939865,-1.1732098830579303,-1.1762958943145119,-0.502158287427131,-0.41043978621034655,-0.1981317040323629,-0.23621210974146298,-0.15442397311464692,0.0,-0.7467616079199193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1,8,1,1,0,0,1,1,1,1,0,0,3,3,2,4,3,1,0,0,4,2,2,1,0,1,0,0,0,0,0,0,1.0,1.9030899869919435,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.4771212547196624,1.4771212547196624,1.3010299956639813,1.6020599913279625,1.4771212547196624,1.0,0.0,0.0,1.6020599913279625,1.3010299956639813,1.3010299956639813,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1007679564215405,-0.15320490008428433,-0.1470576710283599,0.0,0.0,0.0,-0.2648178230095365,-0.7108786176851729,-0.26740641875290416,0.0,0.0,-1.0817155811222527,-1.084560925768568,-0.4078018289267726,-0.6575491603367986,-0.2249483503342805,-0.18155777386278632,0.0,0.0,-0.7467616079199193,-0.36592859045963183,-0.0630242394631382,0.438898616350944,0.0,0.6925039620867871,0.0,0.0,0.0,0.0,0.0,0.0
,1,2,1,0,0,0,1,1,2,1,1,0,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1.0,1.3010299956639813,1.0,0.0,0.0,0.0,1.0,1.0,1.3010299956639813,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.3010299956639813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4361707244092172,-0.15320490008428433,0.0,0.0,0.0,0.0,-0.2648178230095365,-0.9248744048845575,-0.26740641875290416,0.2076083105017461,0.0,0.0,0.0,-0.3134453704264141,0.0,0.0,-0.18155777386278632,-0.15442397311464692,0.0,-0.6064437391690592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1,4,0,0,0,1,1,0,3,0,0,1,1,1,0,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1.0,1.6020599913279625,0.0,0.0,0.0,1.0,1.0,0.0,1.4771212547196624,0.0,0.0,1.0,1.0,1.0,0.0,1.3010299956639813,0.0,1.0,0.0,1.0,1.3010299956639813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.768469340415379,0.0,0.0,0.0,-0.2748503200166648,0.0,0.0,-1.0500539157085018,0.0,0.0,-0.03462845662532038,-0.7323133274712426,-0.7342396044354551,0.0,-0.5339944732735725,0.0,-0.18155777386278632,0.0,0.08354605145007492,-0.6064437391690592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1,6,1,0,0,2,1,2,2,1,0,1,2,2,0,2,0,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,1.0,1.7781512503836436,1.0,0.0,0.0,1.3010299956639813,1.0,1.3010299956639813,1.3010299956639813,1.0,0.0,1.0,1.3010299956639813,1.3010299956639813,0.0,1.3010299956639813,0.0,1.0,1.0,1.0,1.4771212547196624,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9628515698205224,-0.15320490008428433,0.0,0.0,-0.3575885106595253,0.0,-0.3445359311218422,-0.9248744048845575,-0.26740641875290416,0.0,-0.03462845662532038,-0.9527616052645864,-0.9552677493749835,0.0,-0.5339944732735725,0.0,-0.18155777386278632,-0.15442397311464692,0.08354605145007492,-0.6885244305694252,-0.2812606870550129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1,4,0,1,0,0,1,0,3,0,0,0,1,1,0,0,0,2,0,1,2,0,1,0,0,0,1,0,0,0,0,0,1.0,1.6020599913279625,0.0,1.0,0.0,0.0,1.0,0.0,1.4771212547196624,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.3010299956639813,0.0,1.0,1.3010299956639813,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.768469340415379,0.0,-0.1470576710283599,0.0,0.0,0.0,0.0,-1.0500539157085018,0.0,0.0,0.0,-0.7323133274712426,-0.7342396044354551,0.0,0.0,0.0,-0.23621210974146298,0.0,0.08354605145007492,-0.6064437391690592,0.0,-0.048441803550404505,0.0,0.0,0.0,0.8068754016455384,0.0,0.0,0.0,0.0,0.0
,1,2,0,0,0,0,1,0,2,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,1.3010299956639813,0.0,0.0,0.0,0.0,1.0,0.0,1.3010299956639813,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4361707244092172,0.0,0.0,0.0,0.0,0.0,0.0,-0.9248744048845575,-0.26740641875290416,0.2076083105017461,0.0,0.0,0.0,0.0,-0.41043978621034655,0.0,0.0,0.0,0.0,0.0,-0.2812606870550129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1,4,0,3,0,1,1,0,0,1,0,0,1,1,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,1.6020599913279625,0.0,1.4771212547196624,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.3010299956639813,1.3010299956639813,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.768469340415379,0.0,-0.2172220115455623,0.0,-0.2748503200166648,0.0,0.0,0.0,-0.26740641875290416,0.0,0.0,-0.7323133274712426,-0.7342396044354551,-0.4078018289267726,-0.5339944732735725,0.0,-0.18155777386278632,0.0,0.0,0.0,-0.2812606870550129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1,10,1,1,0,3,1,1,4,1,0,4,4,4,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1.0,2.0,1.0,1.0,0.0,1.4771212547196624,1.0,1.0,1.6020599913279625,1.0,0.0,1.6020599913279625,1.6020599913279625,1.6020599913279625,1.0,1.0,0.0,0.0,0.0,0.0,1.3010299956639813,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.207744216806111,-0.15320490008428433,-0.1470576710283599,0.0,-0.40598724956311666,0.0,-0.2648178230095365,-1.1388701920839421,-0.26740641875290416,0.0,-0.05547686492086149,-1.1732098830579303,-1.1762958943145119,-0.3134453704264141,-0.41043978621034655,0.0,0.0,0.0,0.0,-0.6064437391690592,-0.2812606870550129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1,12,2,0,0,2,1,0,7,2,0,1,5,5,0,4,4,2,2,1,4,2,0,0,0,0,0,0,0,0,0,0,1.0,2.079181246047625,1.3010299956639813,0.0,0.0,1.3010299956639813,1.0,0.0,1.845098040014257,1.3010299956639813,0.0,1.0,1.6989700043360187,1.6989700043360187,0.0,1.6020599913279625,1.6020599913279625,1.3010299956639813,1.3010299956639813,1.0,1.6020599913279625,1.3010299956639813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2951501858266843,-0.19932417049235712,0.0,0.0,-0.3575885106595253,0.0,0.0,-1.3116407441789568,-0.34790377183061166,0.0,-0.03462845662532038,-1.2441783771491413,-1.2474510639313818,0.0,-0.6575491603367986,-0.2439750636816693,-0.23621210974146298,-0.20091022107176384,0.08354605145007492,-0.7467616079199193,-0.36592859045963183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1,12,2,0,0,2,1,2,4,1,0,0,5,5,3,2,2,4,2,2,3,1,1,0,0,0,0,0,0,0,0,0,1.0,2.079181246047625,1.3010299956639813,0.0,0.0,1.3010299956639813,1.0,1.3010299956639813,1.6020599913279625,1.0,0.0,0.0,1.6989700043360187,1.6989700043360187,1.4771212547196624,1.3010299956639813,1.3010299956639813,1.6020599913279625,1.3010299956639813,1.3010299956639813,1.4771212547196624,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2951501858266843,-0.19932417049235712,0.0,0.0,-0.3575885106595253,0.0,-0.3445359311218422,-1.1388701920839421,-0.26740641875290416,0.0,0.0,-1.2441783771491413,-1.2474510639313818,-0.46299681885033417,-0.5339944732735725,-0.1981317040323629,-0.29086644562013964,-0.20091022107176384,0.10869591895583372,-0.6885244305694252,-0.2812606870550129,-0.048441803550404505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1,6,0,0,0,1,1,1,2,0,0,0,2,2,1,1,1,2,1,0,2,0,1,0,1,0,0,0,0,0,0,0,1.0,1.7781512503836436,0.0,0.0,0.0,1.0,1.0,1.0,1.3010299956639813,0.0,0.0,0.0,1.3010299956639813,1.3010299956639813,1.0,1.0,1.0,1.3010299956639813,1.0,0.0,1.3010299956639813,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9628515698205224,0.0,0.0,0.0,-0.2748503200166648,0.0,-0.2648178230095365,-0.9248744048845575,0.0,0.0,0.0,-0.9527616052645864,-0.9552677493749835,-0.3134453704264141,-0.41043978621034655,-0.15228834438305652,-0.23621210974146298,-0.15442397311464692,0.0,-0.6064437391690592,0.0,-0.048441803550404505,0.0,0.4881166390211256,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1,8,3,2,0,1,1,2,1,0,2,2,3,3,0,2,0,0,0,0,4,1,0,0,2,0,0,0,0,0,0,0,1.0,1.9030899869919435,1.4771212547196624,1.3010299956639813,0.0,1.0,1.0,1.3010299956639813,1.0,0.0,1.3010299956639813,1.3010299956639813,1.4771212547196624,1.4771212547196624,0.0,1.3010299956639813,0.0,0.0,0.0,0.0,1.6020599913279625,1.0,0.0,0.0,1.3010299956639813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1007679564215405,-0.22630221424169858,-0.19132644110038227,0.0,-0.2748503200166648,0.0,-0.3445359311218422,-0.7108786176851729,0.0,0.2701046393118932,-0.04505266077309094,-1.0817155811222527,-1.084560925768568,0.0,-0.5339944732735725,0.0,0.0,0.0,0.0,-0.7467616079199193,-0.2812606870550129,0.0,0.0,0.6350543887491722,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1,12,0,0,0,2,1,3,3,1,0,2,5,5,5,2,1,3,1,4,3,3,0,0,0,0,0,0,0,0,0,0,1.0,2.079181246047625,0.0,0.0,0.0,1.3010299956639813,1.0,1.4771212547196624,1.4771212547196624,1.0,0.0,1.3010299956639813,1.6989700043360187,1.6989700043360187,1.6989700043360187,1.3010299956639813,1.0,1.4771212547196624,1.0,1.6020599913279625,1.4771212547196624,1.4771212547196624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2951501858266843,0.0,0.0,0.0,-0.3575885106595253,0.0,-0.391168034995976,-1.0500539157085018,-0.26740641875290416,0.0,-0.04505266077309094,-1.2441783771491413,-1.2474510639313818,-0.5325342823524698,-0.5339944732735725,-0.15228834438305652,-0.26818284673230763,-0.15442397311464692,0.13384578646159254,-0.6885244305694252,-0.41545613896601497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1,8,2,0,0,2,1,2,3,1,0,2,3,3,2,0,0,1,0,1,4,1,3,0,0,0,0,0,0,0,0,0,1.0,1.9030899869919435,1.3010299956639813,0.0,0.0,1.3010299956639813,1.0,1.3010299956639813,1.4771212547196624,1.0,0.0,1.3010299956639813,1.4771212547196624,1.4771212547196624,1.3010299956639813,0.0,0.0,1.0,0.0,1.0,1.6020599913279625,1.0,1.4771212547196624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1007679564215405,-0.19932417049235712,0.0,0.0,-0.3575885106595253,0.0,-0.3445359311218422,-1.0500539157085018,-0.26740641875290416,0.0,-0.04505266077309094,-1.0817155811222527,-1.084560925768568,-0.4078018289267726,0.0,0.0,-0.18155777386278632,0.0,0.08354605145007492,-0.7467616079199193,-0.2812606870550129,-0.0715544176412569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1,12,1,0,1,0,1,2,5,1,2,1,5,5,3,2,1,1,2,0,3,2,2,0,0,0,0,0,0,0,0,0,1.0,2.079181246047625,1.0,0.0,1.0,0.0,1.0,1.3010299956639813,1.6989700043360187,1.0,1.3010299956639813,1.0,1.6989700043360187,1.6989700043360187,1.4771212547196624,1.3010299956639813,1.0,1.0,1.3010299956639813,0.0,1.4771212547196624,1.3010299956639813,1.3010299956639813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2951501858266843,-0.15320490008428433,0.0,0.4854522473397139,0.0,0.0,-0.3445359311218422,-1.2077614481709613,-0.26740641875290416,0.2701046393118932,-0.03462845662532038,-1.2441783771491413,-1.2474510639313818,-0.46299681885033417,-0.5339944732735725,-0.15228834438305652,-0.18155777386278632,-0.20091022107176384,0.0,-0.6885244305694252,-0.36592859045963183,-0.0630242394631382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1,4,0,0,1,1,1,1,1,0,0,0,1,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,1.6020599913279625,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.3010299956639813,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.768469340415379,0.0,0.0,0.4854522473397139,-0.2748503200166648,0.0,-0.2648178230095365,-0.7108786176851729,0.0,0.0,0.0,-0.7323133274712426,-0.7342396044354551,-0.3134453704264141,-0.41043978621034655,-0.1981317040323629,0.0,-0.15442397311464692,0.0,0.0,-0.2812606870550129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1,10,0,0,0,1,1,0,3,1,0,0,4,5,5,2,0,2,2,0,4,1,2,1,0,3,1,0,0,0,0,0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.4771212547196624,1.0,0.0,0.0,1.6020599913279625,1.6989700043360187,1.6989700043360187,1.3010299956639813,0.0,1.3010299956639813,1.3010299956639813,0.0,1.6020599913279625,1.0,1.3010299956639813,1.0,0.0,1.4771212547196624,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.207744216806111,0.0,0.0,0.0,-0.2748503200166648,0.0,0.0,-1.0500539157085018,-0.26740641875290416,0.0,0.0,-1.1732098830579303,-1.2474510639313818,-0.5325342823524698,-0.5339944732735725,0.0,-0.23621210974146298,-0.20091022107176384,0.0,-0.7467616079199193,-0.2812606870550129,-0.0630242394631382,0.438898616350944,0.0,1.0229123213759725,0.8068754016455384,0.0,0.0,0.0,0.0,0.0
,1,10,1,3,0,1,1,2,5,3,0,1,4,4,0,4,1,0,1,0,3,3,2,0,0,0,0,0,0,0,0,0,1.0,2.0,1.0,1.4771212547196624,0.0,1.0,1.0,1.3010299956639813,1.6989700043360187,1.4771212547196624,0.0,1.0,1.6020599913279625,1.6020599913279625,0.0,1.6020599913279625,1.0,0.0,1.0,0.0,1.4771212547196624,1.4771212547196624,1.3010299956639813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.207744216806111,-0.15320490008428433,-0.2172220115455623,0.0,-0.2748503200166648,0.0,-0.3445359311218422,-1.2077614481709613,-0.39499170478838125,0.0,-0.03462845662532038,-1.1732098830579303,-1.1762958943145119,0.0,-0.6575491603367986,-0.15228834438305652,0.0,-0.15442397311464692,0.0,-0.6885244305694252,-0.41545613896601497,-0.0630242394631382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1,26,4,1,1,3,1,2,15,2,3,2,12,12,5,5,2,4,4,2,6,5,3,0,2,1,0,0,0,0,0,0,1.0,2.414973347970818,1.6020599913279625,1.0,1.0,1.4771212547196624,1.0,1.3010299956639813,2.1760912590556813,1.3010299956639813,1.4771212547196624,1.3010299956639813,2.079181246047625,2.079181246047625,1.6989700043360187,1.6989700043360187,1.3010299956639813,1.6020599913279625,1.6020599913279625,1.3010299956639813,1.7781512503836436,1.6989700043360187,1.4771212547196624,0.0,1.3010299956639813,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6658217213617332,-0.2454434409004299,-0.1470576710283599,0.4854522473397139,-0.40598724956311666,0.0,-0.3445359311218422,-1.5469367461942902,-0.34790377183061166,0.30666264809856847,-0.04505266077309094,-1.5226121367089407,-1.526617215647625,-0.5325342823524698,-0.6973248853574671,-0.1981317040323629,-0.29086644562013964,-0.24739646902888077,0.10869591895583372,-0.8288422993202852,-0.47785347070540685,-0.0715544176412569,0.0,0.6350543887491722,0.6925039620867871,0.0,0.0,0.0,0.0,0.0,0.0
